spatial_id,Mental Health Score,Mental Health Binary,Unemployment Rate,High Education Rate,Average Income,Median Age,Recent Immigrant Rate,Rented Rate,Visible Minority Rate,Visible Minority Binary,Work Stress Score,Work Stress binary,Rate of Regular alcohol,Active transportation,Rate of Active population,Rate of Daily Smokers,Total Population,Food Insecurity score,Food Insecurity binary,Diabetes Type 2 rate,Diabetes,Overweight,Obese,Residential Instability,Material Deprivation,Ethnic Concentration,Residential Instability quintiles,Material Deprivation quintiles,Ethnic Concentration quintiles
5350001,3.943070458,0,7.5,57.9439,140470.9957,41,1.964,33.0677,35.0245,1,3.035799951,1,72.4477,58.1477,57.1032,9.8821,611,1.038793763,0,6.5107,0,31.985,21.0068,0.082319045,-0.940159206,-0.229801783,3,1,2
5350002,3.772153994,0,5.2,61.1722,149880.7211,58.3,0.3378,7.8358,0.01,0,2.845165235,1,61.3098,45.4883,50.9951,6.3448,622,1.027330958,0,11.9783,1,41.2641,15.5695,0.161008519,0.354991922,-1.338999798,3,4,1
5350003,3.804840169,0,10,62.5397,103790.1244,44.6,23.6495,38.1295,20.31,0,3.035846816,1,66.926,56.6098,57.5285,8.9083,1226,1.089096466,0,7.3599,0,41.3378,15.4334,2.388299437,-1.523984091,1.279890391,5,1,4
5350004,3.473870775,1,11.5,34.8887,68088.03,38.2,6.5911,93.3799,52.3959,1,2.754292244,0,46.061,59.552,47.3051,20.6989,7012,1.297187847,1,13.3462,1,29.3714,25.1835,2.373134876,1.345853896,0.80445266,5,5,4
5350005,3.69914592,1,8.5,46.4921,83009.5819,36,9.3404,71.3352,48.1815,1,2.906589002,1,58.7718,59.2838,53.7027,15.1117,7451,1.194070517,1,8.4192,0,32.2253,22.2522,2.267340663,0.527990699,0.655761643,5,4,4
5350007.01,3.544353056,1,7.6,41.9382,80266.9318,38.3,7.2153,88.6264,52.5731,1,2.817584598,1,51.6149,59.3368,50.9695,16.7223,3420,1.249255226,1,12.575,1,30.3658,26.3867,2.136431233,0.419264323,0.658283796,5,4,4
5350007.02,3.493921817,1,11.2,39.871,65235.8244,36.4,5.8471,96.2664,52.736,1,2.687961522,0,48.8631,59.9941,46.8039,23.1529,4989,1.320145696,1,13.0239,1,30.3279,24.3845,2.444519851,1.011677999,1.07316122,5,5,4
5350008.01,4.081697072,0,3.5,71.9125,133562.8154,32.9,6.9576,55.5145,35.3594,1,3.048798678,1,76.4352,60.8825,60.6313,7.9608,9098,1.0736413,0,0.4412,0,42.2847,12.0872,2.919142791,-1.961843801,0.634778206,5,1,4
5350008.02,4.036286021,0,6,66.7799,121093.3137,34,10.3025,55.2348,47.7511,1,3.029294166,1,74.1282,59.605,58.5535,8.2841,12295,1.096342902,0,1.6203,0,41.9341,14.3238,2.769991331,-1.395741909,1.116189755,5,1,4
5350009,3.6022732,1,19.9,30.9824,48405.8954,38.4,20.5263,100,30.4703,1,2.803017456,1,48.2411,59.2602,55.528,10.8141,978,1.138531656,1,8.6321,0,22.4234,17.5749,2.932522081,1.588670422,1.893176526,5,5,5
