Spatial ID,Diabetes Type 2 rate,Diabetes,Mental Health Score,Mental Health Binary,High Education Rate,Rate of Regular alcohol,Rate of Daily Smokers,Food Insecurity score,Food Insecurity binary,Unemployment Rate,Median Age,Recent Immigrant Rate,Work Stress Score,Work Stress binary,Rate of Active population,Visible Minority Rate,Visible Minority Binary,Low-income Rate,Low-income Binary,Ethnic Concentration,Ethnic Concentration quintiles,Residential Instability,Residential Instability quintiles,Average Income,Rented Rate,Active transportation,Total Population,Overweight,Obese,Material Deprivation,Material Deprivation quintiles
5350008.01,0.4412,0,4.060299102,0,71.9125,76.4352,7.9608,1.0736413,0,3.5,32.9,6.9576,3.219167752,1,60.6313,35.3594,1,14.1,0,0.634778206,4,2.919142791,5,133562.8154,55.5145,60.8825,9098,42.2847,12.0872,-1.961843801,1
5350012.03,1.2016,0,3.984399835,0,78.7903,79.3103,8.6251,1.092995321,0,5.7,32.1,11.4336,3.25728495,1,61.8177,57.1494,1,11.4,0,1.900161623,5,2.815386205,5,134599.2243,62.5932,58.314,10854,37.6949,14.5515,-1.783565428,1
5350013.02,3.6271,0,4.006099184,0,77.1491,73.6466,8.3142,1.067448684,0,5,36.6,16.512,3.045038193,1,54.8079,52.5226,1,8.5,0,1.567302409,5,2.660013573,5,178134.7146,50.9602,52.9334,10862,39.4208,14.9377,-1.605065786,1
5350003,7.3599,0,3.951949747,0,62.5397,66.926,8.9083,1.089096466,0,10,44.6,23.6495,3.140223887,1,57.5285,20.31,0,15.6,0,1.279890391,4,2.388299437,5,103790.1244,38.1295,56.6098,1226,41.3378,15.4334,-1.523984091,1
5350050.03,4.7061,0,4.155440306,0,68.3206,69.7658,8.3155,1.030935161,0,10.6,40.6,2.2628,3.023286304,1,51.354,27.7633,1,19,0,0.46207288,3,1.35388165,5,171572.9785,27.649,58.2392,1149,42.9872,16.1322,-1.507886971,1
5350012.04,0.9108,0,4.028172109,0,75.5049,78.8413,8.8394,1.077682591,0,5,35.9,12.6931,3.216521477,1,61.3342,45.426,1,10.2,0,1.515356796,5,2.818691769,5,148517.1531,51.9199,59.0671,6045,40.2958,12.8611,-1.491986667,1
5350028.01,5.2767,0,4.085587243,0,63.6109,74.6123,9.5179,1.031146148,0,5.5,38.1,3.0387,3.140000395,1,59.0461,27.3713,1,15.6,0,-0.210051786,2,1.30917158,5,145347.8806,33.6579,61.288,1476,35.1201,19.2719,-1.467031558,1
5350016,2.0636,0,4.037645199,0,71.1405,73.8561,8.8076,1.084667998,0,4.7,35.8,9.1577,3.170581387,1,58.9115,38.387,1,10.4,0,0.597469224,4,2.581922423,5,150557.3244,51.3709,58.1944,12486,42.2796,14.3155,-1.40970851,1
5350047.03,5.6346,0,4.079869373,0,58.4877,75.1637,6.8888,1.039924866,0,1.8,39.9,3.1395,3.168145864,1,60.769,16.1628,0,9.6,0,-0.274365845,2,1.822871741,5,133482.2363,37.7574,63.1864,860,31.124,19.0694,-1.3967981,1
5350008.02,1.6203,0,4.041928612,0,66.7799,74.1282,8.2841,1.096342902,0,6,34,10.3025,3.191085503,1,58.5535,47.7511,1,32.5,1,1.116189755,4,2.769991331,5,121093.3137,55.2348,59.605,12295,41.9341,14.3238,-1.395741909,1
5350014,1.955,0,4.017643828,0,74.8428,77.7985,8.2661,1.081866009,0,4.4,37.8,20.8003,3.238788624,1,62.1431,48.3051,1,11.4,0,1.288673137,5,2.982639237,5,272781.6821,51.7267,58.5816,2478,36.6328,17.963,-1.393090234,1
5350018,4.8656,0,4.007519033,0,60.6363,71.053,8.6929,1.063437301,0,10.4,38.3,10.2941,3.155307393,1,59.3862,27.3908,1,10,0,0.065079575,3,2.000214089,5,157415.5183,39.0929,61.8801,3618,36.759,17.959,-1.381404077,1
5350010.01,2.6782,0,4.019445887,0,64.3676,73.8038,8.664,1.064962168,0,5.3,35.7,4.35,3.185093901,1,60.2342,32.4584,1,18.4,0,0.045209069,3,2.094632241,5,165296.2111,43.6839,61.0162,5943,37.7763,17.7776,-1.366241433,1
5350121,6.736,0,4.119884561,0,75.5995,72.4169,11.5879,1.024078316,0,7.3,48.5,7.0297,3.001732599,1,55.3256,18.9779,0,23.8,0,-0.268964029,2,1.896529018,5,313770.4743,40.8884,50.9838,3209,36.8393,13.9165,-1.319835325,1
5350013.01,3.3142,0,3.975564957,0,77.1153,73.3062,9.7066,1.097069556,0,5.3,34.7,11.0486,3.205171947,1,59.1502,48.3316,1,4.6,0,1.172462451,4,2.825783542,5,145554.2354,64.827,57.0316,7852,39.7536,15.0932,-1.319694845,1
5350223.01,12.8685,1,4.088255651,0,61.6708,52.4111,5.1002,1.024796159,0,6.5,46.2,3.6099,2.969418787,1,52.0817,21.8493,0,10.6,0,-0.245755348,2,-0.737520671,4,302526.3483,9.375,45.376,1579,32.615,15.7481,-1.318144486,1
5350015,3.2675,0,4.071599702,0,73.4819,75.3244,9.1502,1.06981312,0,6.5,39.6,13.0452,3.141314586,1,58.5405,35.5573,1,15.3,0,0.716628773,4,2.597744636,5,177516.161,45.41,56.9546,5096,40.9462,14.343,-1.310806888,1
5350087,10.2166,0,4.161916048,0,77.2512,68.6947,12.0752,1.011764847,0,6.4,55.4,3.4813,2.963020102,1,55.6197,13.7475,0,9.2,0,-0.547436551,1,0.977882236,5,662890.1775,34.7566,51.7544,5521,35.373,15.2514,-1.305841797,1
5350213.02,1.3542,0,3.958977433,0,60.0899,74.9233,8.3611,1.087996142,0,6.5,38,13.7059,3.215179872,1,62.2831,51.6309,1,20.2,0,1.356619911,5,1.911715767,3,114823.4219,32.568,57.2572,7358,38.8991,14.2046,-1.246619202,1
